gender,past_3_years_bike_related_purchases,wealth_segment,owns_car,tenure,state,property_valuation,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,age
F,93,Mass Customer,Yes,11.0,NSW,10.0,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,68.0
F,93,Mass Customer,Yes,11.0,NSW,10.0,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,68.0
M,81,Mass Customer,Yes,16.0,NSW,10.0,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,41.0
M,81,Mass Customer,Yes,16.0,NSW,10.0,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,41.0
M,81,Mass Customer,Yes,16.0,NSW,10.0,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,41.0
M,61,Mass Customer,Yes,15.0,NSW,8.0,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,67.0
M,61,Mass Customer,Yes,15.0,NSW,8.0,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,67.0
M,61,Mass Customer,Yes,15.0,NSW,8.0,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,67.0
M,61,Mass Customer,Yes,15.0,NSW,8.0,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,67.0
M,61,Mass Customer,Yes,15.0,NSW,8.0,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,67.0
M,61,Mass Customer,Yes,15.0,NSW,8.0,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,67.0
M,61,Mass Customer,Yes,15.0,NSW,8.0,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,67.0
M,61,Mass Customer,Yes,15.0,NSW,8.0,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,67.0
M,33,Mass Customer,No,7.0,QLD,9.0,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,60.0
M,33,Mass Customer,No,7.0,QLD,9.0,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,60.0
F,56,Affluent Customer,Yes,8.0,NSW,4.0,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,44.0
F,56,Affluent Customer,Yes,8.0,NSW,4.0,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,44.0
F,56,Affluent Customer,Yes,8.0,NSW,4.0,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,44.0
F,56,Affluent Customer,Yes,8.0,NSW,4.0,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,44.0
F,56,Affluent Customer,Yes,8.0,NSW,4.0,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,44.0
F,56,Affluent Customer,Yes,8.0,NSW,4.0,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,44.0
