past_3_years_bike_related_purchases,owns_car,tenure,property_valuation,online_order,order_status,list_price,standard_cost,age,F,M,Affluent Customer,High Net Worth,Mass Customer,NSW,QLD,VIC,Giant Bicycles,Norco Bicycles,OHM Cycles,Solex,Trek Bicycles,WeareA2B,Mountain,Road,Standard,Touring,high,low,medium,large,medium,small
93,1,11.0,10.0,0.0,1,235.63,125.07,68.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
93,1,11.0,10.0,1.0,1,1577.53,826.51,68.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
93,1,11.0,10.0,1.0,1,1720.7,1531.42,68.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
93,1,11.0,10.0,0.0,1,360.4,270.3,68.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
93,1,11.0,10.0,0.0,1,71.49,53.62,68.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
93,1,11.0,10.0,0.0,1,1538.99,829.65,68.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
93,1,11.0,10.0,0.0,1,688.63,612.88,68.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
93,1,11.0,10.0,1.0,1,230.91,173.18,68.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
93,1,11.0,10.0,1.0,1,642.7,211.37,68.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
93,1,11.0,10.0,1.0,1,742.54,667.4,68.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
93,1,11.0,10.0,1.0,1,1274.93,764.96,68.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
81,1,16.0,10.0,1.0,1,1403.5,954.82,41.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
81,1,16.0,10.0,0.0,1,752.64,205.36,41.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
81,1,16.0,10.0,0.0,1,1992.93,762.63,41.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
61,1,15.0,8.0,0.0,1,1311.44,1167.18,67.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
61,1,15.0,8.0,0.0,1,1635.3,993.66,67.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
61,1,15.0,8.0,1.0,1,1894.19,598.76,67.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
61,1,15.0,8.0,0.0,1,1240.31,795.1,67.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
61,1,15.0,8.0,0.0,1,1720.7,1531.42,67.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
61,1,15.0,8.0,0.0,1,1148.64,689.18,67.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
61,1,15.0,8.0,1.0,1,363.01,290.41,67.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
61,1,15.0,8.0,0.0,1,574.64,459.71,67.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
33,0,7.0,9.0,0.0,1,569.56,528.43,60.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
33,0,7.0,9.0,1.0,1,478.16,298.72,60.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
56,1,8.0,4.0,0.0,1,774.53,464.72,44.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
56,1,8.0,4.0,1.0,1,688.63,612.88,44.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
56,1,8.0,4.0,0.0,1,290.62,215.14,44.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
56,1,8.0,4.0,0.0,1,1812.75,582.48,44.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
56,1,8.0,4.0,1.0,1,1172.78,1043.77,44.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
56,1,8.0,4.0,0.0,1,1163.89,589.27,44.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
35,1,13.0,9.0,0.0,1,358.39,215.03,55.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
35,1,13.0,9.0,0.0,1,230.91,173.18,55.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
35,1,13.0,9.0,1.0,1,1807.45,778.69,55.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
35,1,13.0,9.0,0.0,1,1769.64,108.76,55.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
35,1,13.0,9.0,1.0,1,1765.3,709.48,55.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
6,1,11.0,9.0,0.0,1,574.64,459.71,45.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
